|normal|cleaned_tweets|no_clean|cleaned_score
154|These Fortune 500 companies are stepping up their commitment to fight climate change : http:// ofa.bo/s0yw #ActOnClimate|['up', 'commitment', 'fight']|5.264|5.053333333333334
155|Now is the time to step up and support serious action to fight climate change : http:// ofa.bo/a0yU #ActOnClimate|['up', 'support', 'fight']|5.245714285714286|5.093333333333334
156|"""We are the first generation to feel the effect of climate change and the last generation who can do something about it.""  President Obama"|[u'first', u'last']|5.291|5.28
157|ICYMI: President Obama is teaming up with major companies to fight climate change . Read more: http:// ofa.bo/e0yI #ActOnClimate|['up', 'fight']|5.2333333333333325|4.42
158|Doug is a rancher in New Mexico, and he's feeling the effects of climate change firsthand: http:// ofa.bo/a0xw #ActOnClimate|[]|5.338181818181818|
159|Say you're ready to #WalkTheWalk on climate change . pic.twitter.com/WVLelJHwz9|['ready']|5.63|6.58
160|Ranchers and farmers are facing instability, due to the effects of climate change : http:// ofa.bo/b0y3 #ActOnClimate|['farmers']|5.269090909090909|6.34
161|This study concludes that no one has to choose between fighting climate change and growing the economy: http:// ofa.bo/q0u5 #ActOnClimate|['study', 'no', 'fighting', 'growing']|5.1414285714285715|4.72
162|"""'There s no debate': 97 experts explain the scientific consensus on climate change "" More from @Salon : http:// ofa.bo/a0rl #ActOnClimate"|[u'no', u'experts', u'scientific', u'consensus']|5.482|5.57
163|FACT: 97% of scientists and NASA accept the science of climate change . #ActOnClimate pic.twitter.com/hOfccyKlH1|['scientists', 'accept', 'science']|5.673333333333334|6.54
164|Climate change will make the intensifying droughts across the West even more extreme and dangerous: http:// ofa.bo/a0aq #ActOnClimate|['will', 'make', 'more']|5.464|6.086666666666666
165|Find out how @OFA is taking action on climate change  and how you can get involved: http:// ofa.bo/r0Zg #ActOnClimate|[u'you']|5.43|6.24
166|Watch: Because of climate change , the average U.S. wildfire season is longer and more intense. http:// ofa.bo/i0QT #ActOnClimate|['more']|5.416|6.24
167|Delayed action will increase the costs of climate change . It's time to act: http:// ofa.bo/d0Ny #ActOnClimate|['will', 'increase', 'costs']|5.436|5.46
168|Read what the President is doing to protect communities from the impacts of climate change : http:// ofa.bo/g0Es #ActOnClimate|['protect']|5.39|6.8
169|""" Climate change poses a direct threat to the infrastructure of America.""  President Obama http:// ofa.bo/g0Eq #ActOnClimate"|[u'threat']|4.82|2.36
170|Climate change deniers are at it again: http:// ofa.bo/c0Ek #ActOnClimate|[]|5.16|
171|Chris has been sailing most of his life and he's seen the impacts of climate change firsthand: http:// ofa.bo/j0C6 #ActOnClimate|[u'sailing', u'most']|5.465|6.54
172|Watch: President Obama had some choice words for climate change deniers in Congress. http:// ofa.bo/d04Y #ScienceSaysSo|['choice', 'words']|5.515|6.140000000000001
173|Some members of Congress still won't accept the science of climate change . Help call them out: http:// ofa.bo/p04m #ActOnClimate|"[""won't"", 'accept', 'science']"|5.388333333333333|5.66
174|Climate change deniers and polluters must stop standing in the way of tackling this issue: http:// ofa.bo/e021 #ActOnClimate|['stop']|5.058000000000001|3.9
175|Here's one way to help @OFA call out climate change deniers in Congress: http:// ofa.bo/cvC #ActOnClimate|['help']|5.435555555555556|6.08
176|Add your name: Climate change is happening now. Whose side are you on? http:// ofa.bo/drR #ActOnClimate|['you']|5.5114285714285725|6.24
