|normal|withouturl|no_clean|url_clean
518|Carbon pollution is the biggest contributor to climate change and President Obama is taking it head on. pic.twitter.com/lZlIAyD9UV|Carbon pollution is the biggest contributor to climate change and President Obama is taking it head on.  |5.141818181818182|5.179999999999999
519|"""We have criminal justice policies, including unfair sentencing laws, that need to be reformed.""  President Obama http:// ofa.bo/iA8D"|"""We have criminal justice policies, including unfair sentencing laws, that need to be reformed.""  President Obama http://  "|4.920000000000001|4.920000000000001
520|In the weekly address, President Obama talks about his efforts to improve our criminal justice system. http:// ofa.bo/iA8C #FixTheSystem|In the weekly address, President Obama talks about his efforts to improve our criminal justice system. http://   #FixTheSystem|5.330909090909091|5.330909090909091
521|"""From our family to yours, chag sameach.""  President Obama #Passover"|"""From our family to yours, chag sameach.""  President Obama #Passover"|6.260000000000001|6.260000000000001
522|Happy #EarthDay . pic.twitter.com/grX8lqPkKI|Happy #EarthDay .  ||
523|We can tackle climate change but it's going to take all of us working together. #ActOnClimate pic.twitter.com/LEvJFzebLA|We can tackle climate change but it's going to take all of us working together. #ActOnClimate  |5.436363636363636|5.3538461538461535
524|Bold action on climate change matters. #ActOnClimate pic.twitter.com/fzKtmRyFCQ|Bold action on climate change matters. #ActOnClimate  |5.725|5.725
525|Say you'll stand up for bold action to fight climate change: http:// ofa.bo/jA3W #ActOnClimate|Say you'll stand up for bold action to fight climate change: http://   #ActOnClimate|5.277777777777778|5.277777777777778
526|The Paris Agreement is a big deal. #ActOnClimate pic.twitter.com/j75MzQKH0V|The Paris Agreement is a big deal. #ActOnClimate  |5.546666666666667|5.546666666666667
527|"""'A strong spirit transcends rules,' Prince once said and nobody's spirit was stronger, bolder, or more creative.""  President Obama"|"""'A strong spirit transcends rules,' Prince once said and nobody's spirit was stronger, bolder, or more creative.""  President Obama"|5.86|5.735555555555555
528|President Obama is investing in a more sustainable future. #ActOnClimate pic.twitter.com/MbDFRg0QcP|President Obama is investing in a more sustainable future. #ActOnClimate  |5.656000000000001|5.656000000000001
529|We can't let climate change deniers derail progress say you stand for bold action: http:// ofa.bo/jA3P #ActOnClimate|We can't let climate change deniers derail progress say you stand for bold action: http://   #ActOnClimate|5.359999999999999|5.5680000000000005
530|Continuing to invest in clean energy like solar power is critical in the fight to #ActOnClimate . pic.twitter.com/wvIKlRDDOD|Continuing to invest in clean energy like solar power is critical in the fight to #ActOnClimate .  |5.587142857142858|5.587142857142858
531|Last year, wind energy generated enough electricity to power 17.5 million homes: http:// ofa.bo/hAEb #ActOnClimate|Last year, wind energy generated enough electricity to power 17.5 million homes: http://   #ActOnClimate|6.192500000000001|6.192500000000001
532|Add your name to support bold action to combat climate change: http:// ofa.bo/jA3H #ActOnClimate|Add your name to support bold action to combat climate change: http://   #ActOnClimate|5.3755555555555565|5.3755555555555565
533|Climate change is real and it's devastating communities across the country. We have #ActOnClimate now. pic.twitter.com/RD8EC74QXZ|Climate change is real and it's devastating communities across the country. We have #ActOnClimate now.  |5.3342857142857145|5.482222222222222
534|The wind energy industry keeps growing here's the latest on its record-setting year: http:// ofa.bo/a5w9 #ActOnClimate|The wind energy industry keeps growing here's the latest on its record-setting year: http://   #ActOnClimate|5.73|5.747999999999999
535|Stand up today for a fair Supreme Court nomination process: http:// ofa.bo/c5rj #DoYourJob|Stand up today for a fair Supreme Court nomination process: http://   #DoYourJob|5.993333333333333|5.993333333333333
536|Happy National Park Week. Go #FindYourPark today. http:// ofa.bo/gA5F pic.twitter.com/uTNnDkSw6O|Happy National Park Week. Go #FindYourPark today. http://    ||
537|President Obama's #ImmigrationAction could have a big economic impact. pic.twitter.com/ss6UaGH8C3|President Obama's #ImmigrationAction could have a big economic impact.  |5.632|5.632
538|Last month continued the streak of record-breaking global temperatures. http:// ofa.bo/yQm #ActOnClimate|Last month continued the streak of record-breaking global temperatures. http://   #ActOnClimate|5.226666666666667|5.226666666666667
539|This is unprecedented. #DoYourJob pic.twitter.com/bAo3uLvDtT|This is unprecedented. #DoYourJob  |5.18|5.18
540|Show your support for a fair hearing and timely up-or-down vote for Judge Merrick Garland: http:// ofa.bo/e5qw #DoYourJob|Show your support for a fair hearing and timely up-or-down vote for Judge Merrick Garland: http://   #DoYourJob|5.724444444444444|5.724444444444444
541|Editorial boards are making their voices heard on the #SCOTUS nomination process. See what they're saying: http:// ofa.bo/yQd|Editorial boards are making their voices heard on the #SCOTUS nomination process. See what they're saying: http://  |5.41090909090909|5.41090909090909
542|Add your name if you think the Senate should give Judge Garland fair consideration: http:// ofa.bo/uOx pic.twitter.com/JjJMIwiEbF|Add your name if you think the Senate should give Judge Garland fair consideration: http://    |5.795555555555556|5.795555555555556
543|See what editorial boards are saying about Senate leaders' refusal to give Judge Garland a fair hearing: http:// ofa.bo/uOq|See what editorial boards are saying about Senate leaders' refusal to give Judge Garland a fair hearing: http://  |5.496|5.496
544|This kind of Senate obstructionism is completely unprecedented. #DoYourJob pic.twitter.com/gPazJAImPi|This kind of Senate obstructionism is completely unprecedented. #DoYourJob  |5.925|5.925
545|Climate change means wildfires are now a continual threat in some parts of the country: http:// ofa.bo/wQo #ActOnClimate|Climate change means wildfires are now a continual threat in some parts of the country: http://   #ActOnClimate|5.049090909090908|5.049090909090908
546|LIVE: President Obama is delivering remarks at the #WHScienceFair . http:// ofa.bo/d5se|LIVE: President Obama is delivering remarks at the #WHScienceFair . http://  |4.984999999999999|4.984999999999999
547|Tune in at 2:50 p.m. ET to watch President Obama speak at the #WHScienceFair : http:// ofa.bo/hADc|Tune in at 2:50 p.m. ET to watch President Obama speak at the #WHScienceFair : http://  |5.265714285714286|5.265714285714286
548|Judge Garland is highly qualified for the Supreme Court he deserves a hearing. http:// ofa.bo/xOn #DoYourJob pic.twitter.com/6D9Adjikoz|Judge Garland is highly qualified for the Supreme Court he deserves a hearing. http://   #DoYourJob  |5.701428571428572|5.666250000000001
549|Read why having nine Supreme Court justices is critical for our judicial system: http:// ofa.bo/z0Pl #DoYourJob|Read why having nine Supreme Court justices is critical for our judicial system: http://   #DoYourJob|5.1075|5.1075
550|It's time. #EqualPayDay pic.twitter.com/VpcBDOHABW|It's time. #EqualPayDay  ||
551|"""Improving gender equality would add at least $2.1 trillion to U.S. gross domestic product by 2025."" http:// ofa.bo/c5rC #EqualPayDay"|"""Improving gender equality would add at least $2.1 trillion to U.S. gross domestic product by 2025."" http://   #EqualPayDay"|5.25090909090909|5.25090909090909
552|Retweet if you agree. #EqualPayDay pic.twitter.com/tOZuPJJsX5|Retweet if you agree. #EqualPayDay  |5.45|5.45
553|Stand up for equal pay add your name now: http:// ofa.bo/fA5n #EqualPayDay|Stand up for equal pay add your name now: http://   #EqualPayDay|5.752|5.708571428571429
554|"""I'm here to say we will close the wage gap.""  President Obama #EqualPayDay http://www. snappytv.com/tc/1710484"|"""I'm here to say we will close the wage gap.""  President Obama #EqualPayDay  .  "|5.594999999999999|5.594999999999999
555|LIVE: President Obama is speaking about women's equality on #EqualPayDay . http:// ofa.bo/fA5j|LIVE: President Obama is speaking about women's equality on #EqualPayDay . http://  |5.863333333333333|5.863333333333333
