Tweet id	Poster username	Tweet post Date	Tweet text	Number of retweets	Tweet type
1122575633689841664	@PeetersErik	2019-04-29 00:27:42	Geo-enginering is real ! Climate change is a tool for the NWO (=New World Order. )Google HAARP & Agenda21 & chemtrails. WAKE-UP Greta !	1	Tweet
1122569617849966593	@AndreGBernhardt	2019-04-29 00:03:47	Lets go back to the stone age, caveman era. Zero emissions! New laws and definitely significantly higher taxes will prevent sun spots and solar flares from causing global warming and climate change. Good one. Just kidding. # FearMongering # Foolishness https://twitter.com/AndreGBernhardt/status/1121876532438421506?s=19 …pic.twitter.com/Oh6erUVF8B	0	Tweet
1122563894889861121	@lovinabox	2019-04-28 23:41:03	The world is declaring climate change a national emergency except USA. Why are we allowing this administration to push us backwards when American citizens are ready to move forward. Vote Americans,we can do this!!	0	Tweet
1122541731600318464	@stanly14	2019-04-28 22:12:59	We all know that Labour couldn’t give a sh*t about climate change. They are doing it to try and win popularity in case there is another election. Anyone who thinks different may well be deluded. They will do nothing about it if they are in power.	0	Tweet
1122539421168033793	@JSamoraj	2019-04-28 22:03:48	@ GretaThunberg ''It is remarkable that we keep perceiving problems that are caused by humans, that inflict harm on humans… and that can only be solved by humans...'' Good Luck Greta in solving climate change!✌️💪	0	Tweet
1122521691291312131	@GrandadJag	2019-04-28 20:53:21	Greta dear you are a pawn being used to deliver Government lies. We used to be controlled by religion, as that is failing, (man made) Climate Change is their new (lie) control measure. It just ain’t true! The world ALWAYS changes.	0	Tweet
1122487394744270848	@simon44556278	2019-04-28 18:37:04	97% of climate scientists agree climate change is real and caused by human activity.	0	Tweet
1122487069006286848	@simon44556278	2019-04-28 18:35:46	Here are the 200 most commonly used myths to deny man made climate change, debunked: https://skepticalscience.com/ As well as an explanation of the difference betwwen skepticism and denial, a history of climate science, the basics of man made climate change, and other resources.	0	Tweet
1122483620738994176	@Paulthatstall	2019-04-28 18:22:04	Labour are not the government in the UK so means nothing. Please can you tell me what climate change prediction has been correct in the last 40 years, not nearly I mean actually correct, and why do the climate change scientist dismiss solar activity to 0.1% ?	2	Tweet
1122462768630833154	@FbpeReynard	2019-04-28 16:59:13	Here is Labour’s position that EU membership is vital to tackle climate change. # RevokeA50 # stopbrexitpic.twitter.com/wJ9FruONSq	3	Tweet
1122458213671219200	@DrewWarren12	2019-04-28 16:41:07	JC jumping on the climate change bandwagon, as with free tuition fees, student free bus travel etc. They will get the young vote but at what cost.....?	0	Tweet
1122455917054844928	@bonmotleyb	2019-04-28 16:31:59	Nationalism is the disease that will be the death of the human race. Climate change is a problem that cannot be surmounted by any one nation. Keep fighting the good fight Greta, but we cannot fix the problem if we only treat the symptoms. Our future is at stake.	0	Tweet
1122454319423545344	@jukaperez	2019-04-28 16:25:38	Could you please tell me at least 1 thing, rather than the protest, that you are actually doing to prevent climate change?	0	Tweet
1122453785719316480	@TheCeeside	2019-04-28 16:23:31	Are chemtrails, 5G/EMF and natural cyclical global warming issues in this discussion, as well as the pollutants/chemicals that are poisoning our seas, land, food, and air? You can't deal with climate change and plan for the future, unless you deal with and analyse these issues.	0	Tweet
1122443077363404801	@motheronnet	2019-04-28 15:40:58	We need ALL OUR PLANET EARTH governments to sit and listen to the scientists then put into action their advice. Each day the clock is ticking. Climate change isn’t something to be bargaining for a vote. It should be something that is top priority it is a case of LIFE or DEATH	1	Tweet
